Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2011-01-25,186.82635498046875,194.94281703574745,185.55353872894366,192.82294287500739,14110540
2011-01-27,183.83255004882812,188.2336349874985,182.94517166588275,188.2336349874985,18945580
2011-01-28,184.13282775878906,187.2790134925611,183.03927891468538,184.20005131944606,17798420
2011-01-31,183.50985717773438,184.95746834159243,178.929504998019,183.09754355498268,11118030
2011-02-01,182.81967163085938,186.16305548870486,180.6236017522708,186.16305548870486,8551230
2011-02-02,181.0538787841797,184.96196829622366,179.82586905201734,183.88633653840026,9762170
2011-02-03,184.7333984375,185.70145883385965,180.16649053110314,181.06284123026285,5796030
2011-02-04,180.86114501953125,186.88910854790166,179.71830342376157,183.84152184103226,9253200
2011-02-07,182.75245666503906,184.64824331020498,181.0807713710195,183.30371726668406,8559460
2011-02-08,179.52557373046875,184.64372772715217,177.93454329308818,184.639255274901,7195990
2011-02-09,181.2689666748047,182.40733569525278,177.60289623255423,179.0908414180566,7357580
2011-02-10,180.6908416748047,183.66223242420946,179.27011995617312,180.7042863867124,11535590
2011-02-11,184.58546447753906,184.64821558188206,178.8219369348809,178.8219369348809,10103420
2011-02-14,188.72213745117188,189.14790946160875,183.76531967441403,183.76531967441403,5922360
2011-02-15,188.861083984375,190.74342586775524,186.01965399345497,189.12999192160444,7599730
2011-02-16,187.7720184326172,190.20560719036854,186.89359861602313,189.48852392739914,4550790
2011-02-17,195.90640258789062,196.6593338771538,187.785467609003,188.23364294935863,11804920
2011-02-18,195.05487060546875,201.06041738241336,194.08232410675163,195.76298161954728,19767870
2011-02-21,197.34951782226562,197.9142230994729,191.14677306444267,194.05991263048926,5600510
2011-02-22,191.6800994873047,196.45316380483447,190.5103548156862,196.3007858406544,5796430
2011-02-23,189.4975128173828,192.98431664137627,188.25158583855807,190.49246268372679,6114220
2011-02-24,184.5675506591797,189.89634772921016,183.3709166204743,187.06836275193302,10027770
2011-02-25,183.04823303222656,187.0683659881577,180.88355236852115,187.0683659881577,6309960
2011-02-28,183.9535675048828,190.1114920899128,182.40735716368619,185.0067685762097,10981360
2011-03-01,191.72938537597656,192.71537649404522,184.55858066922139,185.9748162400725,10250580
2011-03-03,196.58311462402344,199.19597034714798,190.92714508464024,191.36187562982005,12668820
2011-03-04,198.8329620361328,200.14611233588394,197.77974738315564,198.09347555288477,9854940
2011-03-07,194.79046630859375,197.55570072564564,192.79608040990212,197.55570072564564,6427840
2011-03-08,197.77976989746094,198.85540164342024,193.29801654671652,193.43247735357434,8985570
